Time,TEMP,HUM,LIGHT,SOIL,SOIL_STATUS,RAIN_STATUS,RAIN_VALUE,Crop_Height_ft,Crop_to_Crop_Distance_ft,pH,pH_Type,longitude,latitude
2026-03-26 15:01:55.460297,34.1,20.9,84,689,MOIST,NO_RAIN,63,1.4,0.82,5.8,Acidic,87.8918013,23.2279208
2026-03-26 14:58:12.909806,33.5,5.0,85,713,WET,NO_RAIN,90,1.24,0.9,5.7,Acidic,87.8919826,23.2280748
2026-03-26 14:42:41.972714,35.7,17.0,80,653,MOIST,NO_RAIN,72,1.49,0.91,5.29,Acidic,87.8920959,23.2279319
2026-03-26 14:33:26.957975,35.2,21.0,80,656,MOIST,NO_RAIN,60,1.34,0.95,4.85,Acidic,87.8919424,23.2276282
2026-03-26 15:05:25.491369,35.5,15.0,74,676,MOIST,NO_RAIN,64,1.43,0.92,5.45,Acidic,87.8917397,23.2276616
2026-03-26 14:42:58.534616,35.6,17.0,82,653,MOIST,NO_RAIN,68,1.35,0.96,5.47,Acidic,87.8920995,23.2279517
2026-03-26 15:04:52.008935,35.7,17.6,77,690,MOIST,NO_RAIN,62,1.46,0.88,4.87,Acidic,87.8917466,23.2277019
2026-03-26 14:32:14.109390,33.9,20.0,81,686,MOIST,NO_RAIN,72,1.23,0.96,5.8,Acidic,87.891795,23.2276334
2026-03-26 14:32:03.168195,34.1,20.0,79,694,MOIST,NO_RAIN,63,1.43,0.91,5.59,Acidic,87.8917231,23.2276281
2026-03-26 15:03:58.805786,35.6,19.0,79,691,MOIST,NO_RAIN,64,1.3,0.86,5.54,Acidic,87.8917538,23.2277765
2026-03-26 15:03:16.914533,34.8,18.9,75,648,MOIST,NO_RAIN,66,1.24,0.97,5.07,Acidic,87.8917684,23.2278334
2026-03-26 15:04:10.472842,35.8,19.4,83,648,MOIST,NO_RAIN,68,1.48,1.0,5.06,Acidic,87.8917514,23.2277594
2026-03-26 14:40:42.768339,35.5,16.0,89,716,WET,NO_RAIN,71,1.47,0.83,5.48,Acidic,87.8920788,23.2277733
2026-03-26 14:59:19.153820,33.1,18.0,85,674,MOIST,NO_RAIN,87,1.21,0.87,5.17,Acidic,87.8918871,23.2280728
2026-03-26 14:45:47.627754,34.5,19.0,78,581,MOIST,NO_RAIN,64,1.24,0.89,4.93,Acidic,87.8920439,23.2280856
2026-03-26 15:03:19.401362,34.9,19.0,79,657,MOIST,NO_RAIN,62,1.36,0.87,5.51,Acidic,87.891767,23.2278267
2026-03-26 14:58:52.636976,33.9,8.0,86,694,MOIST,NO_RAIN,77,1.48,0.97,4.91,Acidic,87.8919232,23.2280742
