Time,TEMP,HUM,LIGHT,SOIL,SOIL_STATUS,RAIN_STATUS,RAIN_VALUE,Crop_Height_ft,Crop_to_Crop_Distance_ft,pH,pH_Type,longitude,latitude
2026-03-26 14:59:25.782306,33.4,10.0,85,672,MOIST,NO_RAIN,81,1.39,0.91,5.56,Acidic,87.8918854,23.2280737
2026-03-26 14:41:35.770284,35.6,16.0,85,682,MOIST,NO_RAIN,76,1.43,0.9,5.05,Acidic,87.8920839,23.2278501
2026-03-26 14:35:03.165438,35.4,19.0,78,644,MOIST,NO_RAIN,72,1.43,0.82,4.89,Acidic,87.8920684,23.2276218
2026-03-26 14:43:44.908698,34.9,17.0,84,676,MOIST,NO_RAIN,67,1.4,0.9,5.52,Acidic,87.8921123,23.2280062
2026-03-26 14:41:15.885039,35.6,16.0,82,657,MOIST,NO_RAIN,65,1.34,0.86,5.68,Acidic,87.892082,23.2278254
2026-03-26 14:42:08.880675,35.6,18.0,73,572,MOIST,NO_RAIN,72,1.3,0.88,5.16,Acidic,87.8920885,23.2278873
2026-03-26 14:34:10.162337,35.4,19.0,77,643,MOIST,NO_RAIN,75,1.4,0.92,5.26,Acidic,87.8919971,23.2276261
2026-03-26 14:35:29.643959,35.5,18.0,80,645,MOIST,NO_RAIN,67,1.43,0.83,5.4,Acidic,87.8920815,23.2276447
2026-03-26 15:00:05.522012,33.9,18.0,87,674,MOIST,NO_RAIN,79,1.45,0.92,5.5,Acidic,87.8918375,23.2280691
2026-03-26 14:36:09.370551,35.7,16.0,81,669,MOIST,NO_RAIN,62,1.28,0.81,5.72,Acidic,87.8920744,23.2276785
2026-03-26 14:36:12.690367,35.8,16.0,77,628,MOIST,NO_RAIN,63,1.29,0.96,5.22,Acidic,87.8920744,23.2276778
2026-03-26 14:58:22.833051,33.8,5.0,86,701,WET,NO_RAIN,88,1.35,0.97,5.76,Acidic,87.8919721,23.2280739
2026-03-26 14:59:12.524231,33.5,5.0,86,689,MOIST,NO_RAIN,82,1.29,0.92,5.05,Acidic,87.8918989,23.228072
2026-03-26 14:45:24.457255,34.4,18.0,77,620,MOIST,NO_RAIN,64,1.4,0.83,5.76,Acidic,87.8920715,23.228089
2026-03-26 14:41:42.381622,35.3,15.0,87,691,MOIST,NO_RAIN,66,1.33,0.89,5.63,Acidic,87.8920845,23.2278565
2026-03-26 14:34:20.102342,35.2,18.0,80,651,MOIST,NO_RAIN,77,1.41,0.89,5.57,Acidic,87.8920133,23.2276241
2026-03-26 15:03:10.721176,35.3,18.7,77,694,MOIST,NO_RAIN,75,1.39,0.93,5.15,Acidic,87.8917706,23.2278408
2026-03-26 14:36:19.304568,35.8,16.0,78,674,MOIST,NO_RAIN,62,1.37,0.95,5.79,Acidic,87.8920738,23.2276843
2026-03-26 15:04:04.811098,35.7,20.2,81,642,MOIST,NO_RAIN,63,1.41,0.83,5.3,Acidic,87.8917529,23.2277702
2026-03-26 14:41:45.699205,35.4,16.0,88,686,MOIST,NO_RAIN,64,1.39,0.82,4.75,Acidic,87.8920847,23.22786
2026-03-26 14:59:45.646717,33.7,17.0,87,687,MOIST,NO_RAIN,79,1.48,0.87,5.02,Acidic,87.8918622,23.228076
2026-03-26 14:35:09.788296,35.5,19.0,78,646,MOIST,NO_RAIN,66,1.37,0.93,4.88,Acidic,87.8920755,23.2276243
2026-03-26 14:46:00.894439,34.3,17.0,82,646,MOIST,NO_RAIN,67,1.38,0.89,4.78,Acidic,87.8920262,23.2280809
2026-03-26 14:36:59.194765,36.3,14.0,77,635,MOIST,NO_RAIN,67,1.25,0.84,4.75,Acidic,87.8920756,23.227736
2026-03-26 15:02:37.785942,34.8,22.8,75,658,MOIST,NO_RAIN,67,1.36,0.96,5.73,Acidic,87.8917817,23.2278784
2026-03-26 14:33:23.650207,35.0,21.0,83,694,MOIST,NO_RAIN,63,1.26,0.88,4.79,Acidic,87.8919357,23.2276288
2026-03-26 15:00:58.509526,34.7,17.0,85,669,MOIST,NO_RAIN,78,1.44,0.89,4.87,Acidic,87.8918153,23.228004
2026-03-26 14:32:30.660857,33.9,20.0,79,672,MOIST,NO_RAIN,63,1.34,0.82,4.93,Acidic,87.8918514,23.227635
2026-03-26 14:37:12.446591,36.3,15.0,81,677,MOIST,NO_RAIN,61,1.29,0.92,5.53,Acidic,87.8920778,23.2277511
2026-03-26 14:37:09.121279,36.6,15.0,81,645,MOIST,NO_RAIN,71,1.31,1.0,5.49,Acidic,87.892077,23.2277473
2026-03-26 15:05:43.571028,35.9,15.0,78,624,MOIST,NO_RAIN,67,1.38,0.97,5.71,Acidic,87.891741,23.2276328
2026-03-26 14:43:38.278857,35.1,16.0,85,676,MOIST,NO_RAIN,66,1.37,0.86,5.29,Acidic,87.89211,23.2280002
2026-03-26 14:58:26.146049,33.8,5.0,86,681,MOIST,NO_RAIN,95,1.41,0.93,4.81,Acidic,87.8919637,23.2280732
2026-03-26 14:33:13.718449,34.8,24.0,80,661,MOIST,NO_RAIN,67,1.49,0.83,5.22,Acidic,87.8919177,23.2276278
2026-03-26 14:41:25.836259,35.7,15.0,81,635,MOIST,NO_RAIN,68,1.37,0.93,5.03,Acidic,87.8920828,23.2278389
2026-03-26 15:00:22.059708,34.3,18.0,88,691,MOIST,NO_RAIN,81,1.46,1.0,5.0,Acidic,87.8918293,23.2280504
2026-03-26 14:35:06.481693,35.3,19.0,79,684,MOIST,NO_RAIN,65,1.34,1.0,4.78,Acidic,87.8920708,23.2276225
2026-03-26 14:43:34.964850,35.0,16.0,82,634,MOIST,NO_RAIN,67,1.24,0.96,5.14,Acidic,87.8921085,23.2279956
2026-03-26 14:33:40.217877,35.3,21.0,82,696,MOIST,NO_RAIN,68,1.42,0.9,4.95,Acidic,87.8919594,23.2276279
2026-03-26 14:34:30.032606,35.3,17.0,81,643,MOIST,NO_RAIN,69,1.44,0.89,5.08,Acidic,87.8920268,23.2276225
2026-03-26 14:40:46.075265,35.4,16.0,82,631,MOIST,NO_RAIN,71,1.41,0.82,4.92,Acidic,87.8920801,23.2277829
2026-03-26 14:41:29.132446,35.6,15.0,81,642,MOIST,NO_RAIN,77,1.25,0.99,4.78,Acidic,87.8920834,23.227843
2026-03-26 15:02:07.515839,34.3,21.4,74,620,MOIST,NO_RAIN,65,1.46,0.96,4.9,Acidic,87.8917964,23.2279104
2026-03-26 14:42:45.288127,35.5,17.0,83,654,MOIST,NO_RAIN,72,1.34,0.94,5.17,Acidic,87.8920962,23.2279325
2026-03-26 14:32:17.415314,34.0,20.0,82,685,MOIST,NO_RAIN,61,1.49,0.9,5.46,Acidic,87.8918108,23.2276357
